,PCT_LACCESS_LOWI10,LACCESS_HHNV10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,GROC09,GROCPTH09,SUPERC09,CONVSPTH09,SPECS09,SNAPS12,SNAPSPTH12,WICS12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12,FSR09,FSRPTH09,PC_FFRSALES07,PCT_SNAP12,SNAP_OAPP09,SNAP_BBCE09,SNAP_REPORTSIMPLE09,PCT_NSLP09,PCT_FREE_LUNCH09,PCT_REDUCED_LUNCH09,PCT_SFSP09,PC_WIC_REDEMP12,PCH_REDEMP_WICS_08_12,PCT_WIC09,PCT_CACFP09,FOODINSEC_CHILD_03_11,MILK_SODA_PRICE10,DIRSALES_FARMS07,DIRSALES_FARMS12,PCH_DIRSALES_FARMS_07_12,PCT_LOCLFARM12,PCT_LOCLSALE07,PCT_LOCLSALE12,DIRSALES12,PC_DIRSALES07,PC_DIRSALES12,PCH_PC_DIRSALES_07_12,FMRKT09,PCH_VEG_FARMS_07_12,VEG_ACRES07,VEG_ACRES12,VEG_ACRESPTH07,VEG_ACRESPTH12,PCH_VEG_ACRESPTH_07_12,FRESHVEG_FARMS07,FRESHVEG_FARMS12,FRESHVEG_ACRES07,FRESHVEG_ACRES12,FRESHVEG_ACRESPTH12,PCH_FRESHVEG_ACRESPTH_07_12,ORCHARD_FARMS07,ORCHARD_FARMS12,ORCHARD_ACRES07,ORCHARD_ACRES12,ORCHARD_ACRESPTH07,PCH_ORCHARD_ACRESPTH_07_12,BERRY_FARMS07,BERRY_ACRES07,BERRY_ACRESPTH12,PCH_BERRY_ACRESPTH_07_12,SLHOUSE12,GHVEG_FARMS07,GHVEG_SQFT07,PCH_GHVEG_SQFT_07_12,GHVEG_SQFTPTH07,GHVEG_SQFTPTH12,CSA12,PCH_CSA_07_12,AGRITRSM_OPS12,AGRITRSM_RCT07,PCH_AGRITRSM_RCT_07_12,PCT_OBESE_ADULTS13,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PERPOV10,PERCHLDPOV10,METRO13,POPLOSS10
2061,1.735268605,408.33971160000004,477.2648181,0.9011968090000001,8,0.151431979,1,0.359650949,5,21.58333333,0.4110563036,9,0.1346465,0.1714057,27.30058,26,0.492153931,622.3082777000001,15.61232719,0.0,1,1,9.703633786000001,22.65148902,7.462343337,0.5632504508,16.912770000000002,-34.65919,2.6309307790000003,1.0726917440000001,8.6,0.8326966999999998,100.0,76.0,-24.0,4.489072652,,0.09580084862,536.0,,10.20991276,,0.0,16.66666667,667.0,435.0,12.58585554,12.70524591,0.948607566,16.0,19.0,,,,,17.0,8.0,98.0,48.0,1.849196166,-50.55578405,6.0,9.0,0.0571450341,-66.35046414,2.0,1.0,,,,,6.0,50.0,3.0,15000.0,173.33333330000002,32.3,96.99012444,0.4399629902,1.2198115520000001,0.3002322551,0,0,0,1.0
766,0.7143457479,128.8904794,133.3502953,0.7667335289,4,0.22908195399999998,0,0.629975374,0,12.66666667,0.7409573948999999,4,0.1737519,0.2339866,34.66707,12,0.687245862,652.9673209,13.83781227,0.5,0,1,12.27079455,37.646640600000005,8.318521152,0.8580418872,10.63211,,2.648824643,0.9536341646,7.8,0.7468696,16.0,27.0,68.75,4.492512479,0.06914639962000001,0.0701490976,114.0,4.899752196000001,6.653437609,35.79130827,1.0,-14.28571429,,,,,,6.0,5.0,51.0,52.0,3.034901366,5.662173822000001,2.0,2.0,,,,,0.0,0.0,,,1.0,0.0,0.0,,0.0,,0.0,-100.0,0.0,,,32.6,96.82037718,0.7417203312,1.092456302,0.3277368905,0,0,0,0.0
315,6.169939182,1369.3792210000001,5090.57158,4.298452714,18,0.152397724,2,0.44026009200000005,3,91.91666667,0.7816109547,20,0.2131087,0.17006949999999998,-20.19592,82,0.6942562990000001,569.3310802,11.14223787,0.0,1,1,8.61205791,28.34221748,8.251599147,0.34917550810000003,12.13492,14.805279999999998,1.709581478,0.5308832023,8.0,1.078838,124.0,190.0,53.22580645,27.456647399999998,5.28450165,5.484936216,2425.0,17.89430589,20.56095369,14.90221422,5.0,80.95238095,550.0,349.0,4.691071611,4.663309084,-0.5918163165,61.0,112.0,,329.0,2.7895067069999997,,36.0,31.0,363.0,363.0,3.096107263,-0.5918163165,42.0,50.0,0.5765545777000001,35.19512981,3.0,5.0,,,,497.0917909,27.0,145.4545455,20.0,,,29.6,85.40041206,1.684567839,9.584726585,1.148377073,0,0,1,0.0
1348,8.22796085,38.28034201,255.1253393,5.604686715,3,0.657750493,0,0.8770006579999999,2,3.5,0.7789895393,5,1.352265,1.112842,-17.70532,3,0.657750493,578.8291809,10.08867498,0.0,1,1,11.67903545,25.17482517,15.1048951,1.036209315,18.72494,-15.7567,2.6888007210000002,1.7739879159999998,7.1,0.8449965,6.0,4.0,-33.33333333,0.7352941176000001,0.009491808569,,,2.155172414,,,0.0,-40.0,1135.0,1250.0,244.612069,251.8304859,2.950965165,1.0,2.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1.0,-50.0,1.0,,,27.8,97.40773286,0.2416520211,1.5158172230000002,0.3075571178,0,0,0,1.0
1969,8.845813941,1544.341556,7963.029825,5.752470472000001,19,0.137122732,1,0.512405999,5,119.33333329999999,0.8636078545,17,0.1144992,0.1230279,7.448761,93,0.671179689,746.0213064,16.96116395,0.0,0,1,10.25076102,46.85890361,9.602649007,0.565692956,18.18611,-11.57131,2.9319091889999997,1.358123605,10.2,1.090935,101.0,101.0,0.0,9.990108803,0.9103968995999999,0.7013491146999999,589.0,4.0184035510000005,4.273039226,6.3367372689999995,1.0,-38.66666667,1059.0,660.0,7.808237359,7.682764925,-1.60692392,75.0,46.0,,,,,21.0,40.0,44.0,107.0,0.3244215711,139.27407140000003,28.0,53.0,0.5295956936,35.52253875,1.0,0.0,0.0,,0.0,,14.0,40.0,15.0,,,32.7,73.67440113,16.00326524,7.689195827000001,0.9774034155,0,0,1,0.0
2783,8.386615434,88.34004529,1667.654824,8.962513162,5,0.26974536,0,0.5934397929999999,1,12.83333333,0.6668745237,4,0.2954035,0.20785700000000001,-29.63625,10,0.5394907210000001,669.7383852,9.791090386,1.0,0,1,12.12789614,37.47993579,12.64044944,0.6041143845,9.579794,-7.8803399999999995,2.604888651,1.007802994,9.0,0.6620316999999999,43.0,51.0,18.60465116,4.820415879,0.5025125628,0.4709136425,269.0,10.38976638,14.10296739,35.73902313,0.0,30.76923077,11.0,,0.6606209837,0.5767012686999999,-12.70315613,12.0,17.0,10.0,,,,7.0,4.0,10.0,,0.6005645307,,3.0,1.0,0.0,-100.0,1.0,2.0,,,,237.233931,2.0,0.0,10.0,391000.0,,27.6,87.12312571,0.16660396619999998,6.003117106,0.24184446710000002,0,0,0,0.0
641,3.16754542,498.46824010000006,8236.504653,7.17865766,13,0.11556582800000001,3,0.160014223,6,44.08333333,0.3732554365,19,0.16748929999999998,0.16087379999999998,-3.949824,50,0.44448395399999996,629.8144347,14.39927225,1.0,0,1,8.898951226,12.75692489,3.652641755,0.3902974724,10.814869999999999,-8.634132000000001,2.400156339,0.9615961818000001,7.4,0.7880003000000001,22.0,38.0,72.72727273,10.43956044,,1.341161628,1382.0,,11.67624197,,1.0,0.0,664.0,428.0,6.579664477000001,5.61000338,-14.73724231,18.0,18.0,,,,,15.0,12.0,30.0,18.0,0.2972739974,-48.84234539,2.0,,,,0.0,0.0,0.0,,0.0,92.59885096,3.0,200.0,2.0,,,33.7,74.21907684,5.528343327000001,15.5992888,2.9659392,0,0,1,0.0
3013,2.076599486,308.60830310000006,138.2809096,0.8446183095,5,0.304469614,0,0.913408842,1,27.58333333,1.6848899480000001,3,0.1734806,0.1832509,5.631912000000001,10,0.608939228,552.5536071,18.38679794,1.0,1,1,11.41667358,45.8490566,12.33962264,0.8303764692,,,2.9157418739999996,1.242679735,7.4,0.8409151,23.0,35.0,52.17391304,7.352941176,0.4429678848,0.7984031936,56.0,1.95599022,3.40694774,74.1802032,1.0,100.0,11.0,47.0,0.6723716381,0.6692218775,-0.46845531420000003,8.0,15.0,11.0,45.0,2.737725862,307.17450099999996,5.0,7.0,13.0,26.0,0.7946210269,99.06308937,4.0,2.0,0.608383525,397.65772339999995,1.0,0.0,0.0,,0.0,,0.0,-100.0,3.0,,,35.9,97.50794039,0.39701930119999995,0.635230882,0.3115074517,0,0,0,1.0
3052,6.431062853999999,946.4786755000001,16111.963240000001,6.496576,29,0.117658514,3,0.37326149399999997,19,132.5833333,0.5239785218,32,0.1348662,0.1264662,-6.228369,214,0.868238693,510.5596443,14.600071900000001,1.0,1,1,10.51943013,29.17652118,5.9628753670000005,0.7932412507,16.64317,0.599896,2.261646531,1.138312513,7.7,0.7880003000000001,95.0,87.0,-8.421052632,7.830783078,0.4078689145,0.2959195619,910.0,4.26468225,3.596283577,-15.67288333,7.0,15.15151515,598.0,490.0,2.464038633,2.363272065,-4.089488182,28.0,36.0,247.0,,,,19.0,23.0,240.0,238.0,0.9889118261,-4.888742447,12.0,67.0,0.308252878,11.65701376,1.0,2.0,,,,267.96264610000003,8.0,166.66666669999998,9.0,109000.0,26.60550459,28.4,83.74844258,2.131391453,7.251811441,2.68419843,0,0,1,0.0
2217,11.33390605,1084.224021,6218.408075,5.775593334,27,0.251448155,4,0.577399467,10,116.75,1.089451682,23,0.22216,0.2146243,-3.392,84,0.7822831490000001,710.689107,21.01309785,0.0,1,1,8.124539131,47.48157248,9.186459186,0.9558358211,22.86512,6.736828999999999,2.9602235639999996,1.069123552,10.4,0.6371948000000001,347.0,346.0,-0.288184438,17.95537104,4.256827266,2.717466784,1761.0,20.19484947,16.43843289,-18.60086449,1.0,52.27272727,,392.0,,,,43.0,64.0,,378.0,3.5285222210000002,,187.0,177.0,1835.0,2223.0,17.14040184,21.06525477,49.0,331.0,4.5460061419999995,47.03377026,2.0,5.0,22726.0,323.5149168,212.27943990000003,898.4476368999999,18.0,-10.0,8.0,147000.0,,31.0,89.48238549999999,0.25913232469999997,4.6950319039999995,0.9362200117,0,0,0,0.0
