,LACCESS_POP10,PCT_LACCESS_POP10,LACCESS_LOWI10,PCT_LACCESS_LOWI10,LACCESS_HHNV10,PCT_LACCESS_HHNV10,LACCESS_CHILD10,PCT_LACCESS_CHILD10,LACCESS_SENIORS10,PCT_LACCESS_SENIORS10,GROC09,GROCPTH09,SUPERC09,SUPERCPTH09,CONVS09,CONVSPTH09,SPECS09,SPECSPTH09,SNAPS12,SNAPSPTH12,WICS08,WICS12,PCH_WICS_08_12,WICSPTH08,WICSPTH12,PCH_WICSPTH_08_12,FFR09,FFRPTH09,FSR09,FSRPTH09,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12,REDEMP_SNAPS12,PCT_SNAP12,PC_SNAPBEN10,SNAP_PART_RATE08,SNAP_PART_RATE13,SNAP_OAPP09,SNAP_CAP09,SNAP_BBCE09,SNAP_REPORTSIMPLE09,PCT_NSLP09,PCT_FREE_LUNCH09,PCT_REDUCED_LUNCH09,PCT_SBP09,PCT_SFSP09,PC_WIC_REDEMP08,PC_WIC_REDEMP12,PCH_PC_WIC_REDEMP_08_12,REDEMP_WICS08,REDEMP_WICS12,PCH_REDEMP_WICS_08_12,PCT_WIC09,PCT_CACFP09,FDPIR12,FOODINSEC_10_12,VLFOODSEC_10_12,FOODINSEC_CHILD_01_07,FOODINSEC_CHILD_03_11,MILK_PRICE10,SODA_PRICE10,MILK_SODA_PRICE10,DIRSALES_FARMS07,DIRSALES_FARMS12,PCH_DIRSALES_FARMS_07_12,PCT_LOCLFARM07,PCT_LOCLFARM12,PCT_LOCLSALE07,PCT_LOCLSALE12,DIRSALES07,DIRSALES12,PCH_DIRSALES_07_12,PC_DIRSALES07,PC_DIRSALES12,PCH_PC_DIRSALES_07_12,FMRKT09,VEG_FARMS07,VEG_FARMS12,PCH_VEG_FARMS_07_12,VEG_ACRES07,VEG_ACRES12,PCH_VEG_ACRES_07_12,VEG_ACRESPTH07,VEG_ACRESPTH12,PCH_VEG_ACRESPTH_07_12,FRESHVEG_FARMS07,FRESHVEG_FARMS12,PCH_FRESHVEG_FARMS_07_12,FRESHVEG_ACRES07,FRESHVEG_ACRES12,PCH_FRESHVEG_ACRES_07_12,FRESHVEG_ACRESPTH07,FRESHVEG_ACRESPTH12,PCH_FRESHVEG_ACRESPTH_07_12,ORCHARD_FARMS07,ORCHARD_FARMS12,PCH_ORCHARD_FARMS_07_12,ORCHARD_ACRES07,ORCHARD_ACRES12,PCH_ORCHARD_ACRES_07_12,ORCHARD_ACRESPTH07,ORCHARD_ACRESPTH12,PCH_ORCHARD_ACRESPTH_07_12,BERRY_FARMS07,BERRY_FARMS12,PCH_BERRY_FARMS_07_12,BERRY_ACRES07,BERRY_ACRES12,PCH_BERRY_ACRES_07_12,BERRY_ACRESPTH07,BERRY_ACRESPTH12,PCH_BERRY_ACRESPTH_07_12,SLHOUSE07,SLHOUSE12,PCH_SLHOUSE_07_12,GHVEG_FARMS07,GHVEG_FARMS12,PCH_GHVEG_FARMS_07_12,GHVEG_SQFT07,GHVEG_SQFT12,PCH_GHVEG_SQFT_07_12,GHVEG_SQFTPTH07,GHVEG_SQFTPTH12,PCH_GHVEG_SQFTPTH_07_12,CSA07,CSA12,PCH_CSA_07_12,AGRITRSM_OPS07,AGRITRSM_OPS12,PCH_AGRITRSM_OPS_07_12,AGRITRSM_RCT07,AGRITRSM_RCT12,PCH_AGRITRSM_RCT_07_12,FARM_TO_SCHOOL09,FARM_TO_SCHOOL13,PCT_DIABETES_ADULTS08,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,RECFAC09,RECFACPTH09,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,PERPOV10,PERCHLDPOV10,METRO13,POPLOSS10
2061,2135.590509,4.032535562,918.9809004000001,1.735268605,408.33971160000004,1.9510712959999998,477.2648181,0.9011968090000001,363.729027,0.6868124908,8,0.151431979,1,0.018928999999999998,19,0.359650949,5,0.09464498699999999,21.58333333,0.4110563036,7,9,28.57143,0.1346465,0.1714057,27.30058,31,0.586798917,26,0.492153931,622.3082777000001,649.0934717,577.3736605,643.1449028,361313.0377,15.61232719,11.84249451,72,95.714,0.0,0,1,1,9.703633786000001,22.65148902,7.462343337,3.148316525,0.5632504508,20.33292,16.912770000000002,-16.82076,151009.7,98670.96,-34.65919,2.6309307790000003,1.0726917440000001,0,16.1,7.1,8.2,8.6,0.8643396000000001,0.9602624,0.8326966999999998,100.0,76.0,-24.0,5.643340857999999,4.489072652,,0.09580084862,,536.0,,,10.20991276,,0.0,18.0,21.0,16.66666667,667.0,435.0,53.33333333,12.58585554,12.70524591,0.948607566,16.0,19.0,18.75,,,,,,,17.0,8.0,-52.94117647,98.0,48.0,-51.02040816,1.849196166,0.9143205455,-50.55578405,6.0,4.0,-33.33333333,9.0,3.0,-66.66666667,0.1698241377,0.0571450341,-66.35046414,2.0,2.0,0.0,1.0,1.0,0.0,,,,,,,4.0,6.0,50.0,3.0,3.0,0.0,15000.0,41000.0,173.33333330000002,0.0,1.0,10.6,28.8,32.3,5,0.09464498699999999,96.99012444,0.4399629902,1.2198115520000001,0.3002322551,0.1340659756,0.007553012708,16.86021262,24.94948923,0,0,0,1.0
766,593.4341019999999,3.4121096019999997,124.2390125,0.7143457479,128.8904794,1.9046915819999999,133.3502953,0.7667335289,107.04980060000001,0.6155117331000001,4,0.22908195399999998,0,0.0,11,0.629975374,0,0.0,12.66666667,0.7409573948999999,3,4,33.33333,0.1737519,0.2339866,34.66707,11,0.629975374,12,0.687245862,652.9673209,611.2947786000001,565.7680267000001,617.4356991000001,180452.9597,13.83781227,16.16643668,65,89.421,0.5,0,0,1,12.27079455,37.646640600000005,8.318521152,3.2832366489999996,0.8580418872,,10.63211,,,45439.0,,2.648824643,0.9536341646,0,13.0,4.5,6.2,7.8,0.7695072,0.9531476000000001,0.7468696,16.0,27.0,68.75,2.635914333,4.492512479,0.06914639962000001,0.0701490976,87.0,114.0,31.03448276,4.899752196000001,6.653437609,35.79130827,1.0,7.0,6.0,-14.28571429,,,,,,,6.0,5.0,-16.66666667,51.0,52.0,1.960784314,2.872268529,3.034901366,5.662173822000001,2.0,2.0,0.0,,,,,,,0.0,1.0,,0.0,,,0.0,,,1.0,1.0,0.0,0.0,1.0,,0.0,,,0.0,,,1.0,0.0,-100.0,3.0,0.0,-100.0,,0.0,,0.0,1.0,10.3,29.9,32.6,2,0.11454097699999999,96.82037718,0.7417203312,1.092456302,0.3277368905,0.1839926403,0.01724931003,15.7601196,24.76425943,0,0,0,0.0
315,22160.170980000003,18.711935500000003,7306.935575,6.169939182,1369.3792210000001,3.055967911,5090.57158,4.298452714,3059.1311769999998,2.583114784,18,0.152397724,2,0.0169331,52,0.44026009200000005,3,0.025399599999999998,91.91666667,0.7816109547,25,20,-20.0,0.2131087,0.17006949999999998,-20.19592,58,0.49105933399999996,82,0.6942562990000001,569.3310802,436.682244,711.0000837,799.4295284,296678.5569,11.14223787,17.75340291,66,90.463,0.0,0,1,1,8.61205791,28.34221748,8.251599147,1.9586799030000002,0.34917550810000003,13.24494,12.13492,-8.380697999999999,62151.11,71352.75,14.805279999999998,1.709581478,0.5308832023,0,13.4,4.9,6.8,8.0,1.084805,0.9302243,1.078838,124.0,190.0,53.22580645,20.87542088,27.456647399999998,5.28450165,5.484936216,2098.0,2425.0,15.58627264,17.89430589,20.56095369,14.90221422,5.0,63.0,114.0,80.95238095,550.0,349.0,57.59312321,4.691071611,4.663309084,-0.5918163165,61.0,112.0,83.60655738,,329.0,,,2.7895067069999997,,36.0,31.0,-13.88888889,363.0,363.0,0.0,3.096107263,3.0777839960000004,-0.5918163165,42.0,52.0,23.80952381,50.0,68.0,36.0,0.4264610556,0.5765545777000001,35.19512981,3.0,3.0,0.0,5.0,28.0,460.0,,58628.0,,,497.0917909,,11.0,27.0,145.4545455,6.0,20.0,233.33333330000002,,,,0.0,1.0,9.1,28.4,29.6,14,0.118531563,85.40041206,1.684567839,9.584726585,1.148377073,0.3681561793,0.03208700645,12.8474685,22.3308677,0,0,1,0.0
1348,1192.493022,26.19712263,374.53677789999995,8.22796085,38.28034201,1.9275096680000001,255.1253393,5.604686715,230.36314269999997,5.060701729,3,0.657750493,0,0.0,4,0.8770006579999999,2,0.43850032899999997,3.5,0.7789895393,6,5,-16.66667,1.352265,1.112842,-17.70532,2,0.43850032899999997,3,0.657750493,578.8291809,521.2382004,645.9141302999999,690.5203428,,10.08867498,3.460017575,61,86.62200000000001,0.0,0,1,1,11.67903545,25.17482517,15.1048951,2.7083593639999997,1.036209315,27.009290000000004,18.72494,-30.67225,19973.37,16826.23,-15.7567,2.6888007210000002,1.7739879159999998,0,10.6,4.8,5.7,7.1,0.9485940999999999,1.038527,0.8449965,6.0,4.0,-33.33333333,0.8862629247,0.7352941176000001,0.009491808569,,10.0,,,2.155172414,,,0.0,5.0,3.0,-40.0,1135.0,1250.0,-9.2,244.612069,251.8304859,2.950965165,1.0,2.0,100.0,,,,,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,1.0,-50.0,1.0,1.0,0.0,,,,0.0,0.0,8.7,28.0,27.8,0,0.0,97.40773286,0.2416520211,1.5158172230000002,0.3075571178,0.08787346221,0.0,22.60544815,21.6168717,0,0,0,1.0
1969,32737.15291,23.64922769,12245.08332,8.845813941,1544.341556,2.906175302,7963.029825,5.752470472000001,4991.075487,3.605538971,19,0.137122732,1,0.00721699,71,0.512405999,5,0.036084899999999996,119.33333329999999,0.8636078545,16,17,6.25,0.1144992,0.1230279,7.448761,77,0.555707914,93,0.671179689,746.0213064,644.8528183999999,665.1112958,642.7799577000001,272115.5753,16.96116395,19.97789465,65,84.21,0.0,1,0,1,10.25076102,46.85890361,9.602649007,3.913159996,0.565692956,19.14014,18.18611,-4.984471,167164.0,147820.9,-11.57131,2.9319091889999997,1.358123605,0,16.6,6.7,10.0,10.2,1.062503,0.9009971999999999,1.090935,101.0,101.0,0.0,10.27466938,9.990108803,0.9103968995999999,0.7013491146999999,545.0,589.0,8.073394495,4.0184035510000005,4.273039226,6.3367372689999995,1.0,75.0,46.0,-38.66666667,1059.0,660.0,60.45454545,7.808237359,7.682764925,-1.60692392,75.0,46.0,-38.66666667,,,,,,,21.0,40.0,90.47619048,44.0,107.0,143.18181819999998,0.3244215711,0.7762567015999999,139.27407140000003,28.0,31.0,10.71428571,53.0,73.0,37.73584906,0.3907805288,0.5295956936,35.52253875,0.0,1.0,,0.0,1.0,,0.0,,,0.0,,,10.0,14.0,40.0,8.0,15.0,87.5,,,,0.0,1.0,11.8,30.3,32.7,9,0.064952873,73.67440113,16.00326524,7.689195827000001,0.9774034155,0.2716213483,0.03178547693,14.44288728,23.79720866,0,0,1,0.0
2783,5147.487905,27.66425488,1560.497534,8.386615434,88.34004529,1.4715982890000001,1667.654824,8.962513162,708.2357887000001,3.806286821,5,0.26974536,0,0.0,11,0.5934397929999999,1,0.0539491,12.83333333,0.6668745237,5,4,-20.0,0.2954035,0.20785700000000001,-29.63625,11,0.5934397929999999,10,0.5394907210000001,669.7383852,600.6271387,506.97864780000003,453.8551829,175242.9678,9.791090386,11.8906863,62,80.442,1.0,0,0,1,12.12789614,37.47993579,12.64044944,2.3875482480000003,0.6041143845,14.77934,9.579794,-35.18116,50031.0,46088.39,-7.8803399999999995,2.604888651,1.007802994,0,14.8,4.8,9.7,9.0,0.7219861,1.008887,0.6620316999999999,43.0,51.0,18.60465116,4.891922639,4.820415879,0.5025125628,0.4709136425,173.0,269.0,55.49132948,10.38976638,14.10296739,35.73902313,0.0,13.0,17.0,30.76923077,11.0,,,0.6606209837,0.5767012686999999,-12.70315613,12.0,17.0,41.66666667,10.0,,,0.6005645307,,,7.0,4.0,-42.85714286,10.0,,,0.6005645307,,,3.0,0.0,-100.0,1.0,0.0,-100.0,0.06005645307,0.0,-100.0,3.0,1.0,-66.66666667,2.0,6.0,200.0,,4525.0,,,237.233931,,2.0,2.0,0.0,9.0,10.0,11.11111111,391000.0,,,0.0,1.0,9.4,26.8,27.6,2,0.107898144,87.12312571,0.16660396619999998,6.003117106,0.24184446710000002,4.14360187,0.24184446710000002,10.66265384,33.90659429,0,0,0,0.0
641,27649.09975,24.098016100000002,3634.314914,3.16754542,498.46824010000006,1.310999527,8236.504653,7.17865766,2400.384971,2.0920939990000003,13,0.11556582800000001,3,0.026668999999999998,18,0.160014223,6,0.0533381,44.08333333,0.3732554365,17,19,11.764710000000001,0.16748929999999998,0.16087379999999998,-3.949824,53,0.471152991,50,0.44448395399999996,629.8144347,608.7322135,646.2592516,697.6499884,437572.0117,14.39927225,7.236903268,79,98.305,1.0,0,0,1,8.898951226,12.75692489,3.652641755,2.272468672,0.3902974724,12.32365,10.814869999999999,-12.24293,73578.7,67225.82,-8.634132000000001,2.400156339,0.9615961818000001,0,14.3,5.3,7.0,7.4,0.795895,0.9343761,0.7880003000000001,22.0,38.0,72.72727273,5.188679245,10.43956044,,1.341161628,,1382.0,,,11.67624197,,1.0,19.0,19.0,0.0,664.0,428.0,55.14018692,6.579664477000001,5.61000338,-14.73724231,18.0,18.0,0.0,,,,,,,15.0,12.0,-20.0,30.0,18.0,-40.0,0.2972739974,0.1520784049,-48.84234539,2.0,1.0,-50.0,,,,,,,0.0,0.0,0.0,0.0,3.0,,0.0,10960.0,,0.0,92.59885096,,1.0,3.0,200.0,1.0,2.0,100.0,,,,0.0,1.0,6.0,24.9,33.7,13,0.11556582800000001,74.21907684,5.528343327000001,15.5992888,2.9659392,0.11243201779999999,0.024403848840000002,7.305466462,31.43390043,0,0,1,0.0
3013,673.9821910000001,4.116675978,339.98086789999996,2.076599486,308.60830310000006,4.496696825,138.2809096,0.8446183095,96.74160365,0.5908966751,5,0.304469614,0,0.0,15,0.913408842,1,0.060893899999999994,27.58333333,1.6848899480000001,3,3,0.0,0.1734806,0.1832509,5.631912000000001,14,0.8525149190000001,10,0.608939228,552.5536071,595.6438373999999,434.9249921,503.47932869999994,237251.7611,18.38679794,27.07366235,85,77.738,1.0,0,1,1,11.41667358,45.8490566,12.33962264,5.118374394,0.8303764692,,,,,,,2.9157418739999996,1.242679735,0,11.2,4.7,6.5,7.4,0.8691747,0.9561966999999999,0.8409151,23.0,35.0,52.17391304,4.536489152,7.352941176,0.4429678848,0.7984031936,32.0,56.0,75.0,1.95599022,3.40694774,74.1802032,1.0,8.0,16.0,100.0,11.0,47.0,-76.59574468,0.6723716381,0.6692218775,-0.46845531420000003,8.0,15.0,87.5,11.0,45.0,309.0909091,0.6723716381,2.737725862,307.17450099999996,5.0,7.0,40.0,13.0,26.0,100.0,0.7946210269,1.581797165,99.06308937,4.0,5.0,25.0,2.0,10.0,400.0,0.12224938880000001,0.608383525,397.65772339999995,0.0,1.0,,0.0,1.0,,0.0,,,0.0,,,1.0,0.0,-100.0,1.0,3.0,200.0,,18000.0,,0.0,1.0,14.0,30.1,35.9,2,0.12178784599999999,97.50794039,0.39701930119999995,0.635230882,0.3115074517,0.195455656,0.00610798925,17.88419252,20.74883948,0,0,0,1.0
3052,65132.86217000001,26.26250959,15949.48605,6.431062853999999,946.4786755000001,0.9620347778,16111.963240000001,6.496576,6979.973039,2.814425818,29,0.117658514,3,0.012171600000000001,92,0.37326149399999997,19,0.077086613,132.5833333,0.5239785218,33,32,-3.030303,0.1348662,0.1264662,-6.228369,153,0.620750093,214,0.868238693,510.5596443,495.4132671,558.8067883,589.648556,368372.8351,14.600071900000001,12.95931163,66,100.0,1.0,0,1,1,10.51943013,29.17652118,5.9628753670000005,2.4002373919999997,0.7932412507,17.64278,16.64317,-5.6658349999999995,130817.0,131601.7,0.599896,2.261646531,1.138312513,0,14.2,4.9,7.1,7.7,0.795895,0.9343761,0.7880003000000001,95.0,87.0,-8.421052632,9.021842355,7.830783078,0.4078689145,0.2959195619,1035.0,910.0,-12.07729469,4.26468225,3.596283577,-15.67288333,7.0,33.0,38.0,15.15151515,598.0,490.0,22.04081633,2.464038633,2.363272065,-4.089488182,28.0,36.0,28.57142857,247.0,,,1.017755088,,,19.0,23.0,21.05263158,240.0,238.0,-0.8333333333,0.9889118261,0.9405664739,-4.888742447,12.0,10.0,-16.66666667,67.0,78.0,16.41791045,0.27607121809999996,0.308252878,11.65701376,3.0,1.0,-66.66666667,2.0,10.0,400.0,,67805.0,,,267.96264610000003,,3.0,8.0,166.66666669999998,7.0,9.0,28.57142857,109000.0,138000.0,26.60550459,0.0,1.0,7.4,27.4,28.4,27,0.109544134,83.74844258,2.131391453,7.251811441,2.68419843,2.406383691,0.035482869439999995,11.60814009,24.92792542,0,0,1,0.0
2217,29194.1932,27.11526578,12202.876629999999,11.33390605,1084.224021,2.432031629,6218.408075,5.775593334,5425.359959,5.039018417,27,0.251448155,4,0.037251599999999996,62,0.577399467,10,0.09312894599999999,116.75,1.089451682,23,23,0.0,0.22216,0.2146243,-3.392,82,0.76365736,84,0.7822831490000001,710.689107,531.0894069,778.4382937999999,746.2647453,360708.2622,21.01309785,29.29247897,92,100.0,0.0,0,1,1,8.124539131,47.48157248,9.186459186,3.628945303,0.9558358211,22.1741,22.86512,3.116325,99811.42,106535.5,6.736828999999999,2.9602235639999996,1.069123552,0,13.6,5.8,9.5,10.4,0.8551034,1.241477,0.6371948000000001,347.0,346.0,-0.288184438,16.56324582,17.95537104,4.256827266,2.717466784,2162.0,1761.0,-18.54764107,20.19484947,16.43843289,-18.60086449,1.0,44.0,67.0,52.27272727,,392.0,,,,,43.0,64.0,48.8372093,,378.0,,,3.5285222210000002,,187.0,177.0,-5.347593583,1835.0,2223.0,21.14441417,17.14040184,20.75107116,21.06525477,49.0,40.0,-18.36734694,331.0,487.0,47.12990937,3.091810904,4.5460061419999995,47.03377026,0.0,2.0,,5.0,9.0,80.0,22726.0,96248.0,323.5149168,212.27943990000003,898.4476368999999,323.2381795,20.0,18.0,-10.0,17.0,8.0,-52.94117647,147000.0,,,0.0,1.0,11.4,30.1,31.0,10,0.09312894599999999,89.48238549999999,0.25913232469999997,4.6950319039999995,0.9362200117,1.67089266,0.1021668664,20.962783399999996,20.5206795,0,0,0,0.0
